File,Query,Rank,BM25_Score,Doc_ID,Paragraph_Text
File 1 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_10.csv),Who is actually 'the man in the brown suit'?,1,11.808344574220797,"Book 3 with the title 'The Missing Will', Chapter 38, Paragraph 10","the sun, kicking his legs. There’s a “man in a brown suit” if you like. He’s wearing as little as possible, which is the best costume for Africa, and is as brown as a berry. He’s always burrowing in the earth. I think he takes after Papa. He’ll have that same mania for Pleiocene clay. Suzanne sent me a cable when he was born: “Congratulations and love to the latest arrival on Lunatics’ Island. Is his head dolichocephalic or brachycephalic?” I wasn’t going to stand that from Suzanne. I sent her a reply of one word, economical and to the point: “Platycephalic!” THE END"
File 1 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_10.csv),Who is actually 'the man in the brown suit'?,2,11.131555415903456,"Book 3 with the title 'The Missing Will', Chapter 5, Paragraph 2","was the usual custom, Mrs. James gave her the keys of the house. It was situated at some distance from the lodge, and she was not in the habit of accompanying prospective tenants. A few minutes later a young man arrived. Mrs. James described him as tall and broad-shouldered, with a bronzed face and light grey eyes. He was clean-shaven and was wearing a brown suit. He explained to Mrs. James that he was a friend of the lady who had come to look over the house, but had stopped at the post office to send a telegram. She directed him to the house, and thought no more about the matter. Five minutes later he reappeared, handed her back the keys and explained that he feared the house would not suit them. Mrs. James did not see the lady, but thought that she had gone on ahead. What she did notice was that the young man seemed very much upset"
File 1 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_10.csv),Who is actually 'the man in the brown suit'?,3,9.466299240283394,"Book 3 with the title 'The Missing Will', Chapter 5, Paragraph 4","the dead man’s pocket was merely one of those coincidences which so often occur in this life. A verdict of “Wilful Murder against some person or persons unknown” was returned, and the police (and the _Daily Budget_) were left to look for “the man in the brown suit.” Since Mrs. James was positive that there was no one in the house when the lady entered it, and that nobody except the young man in question entered it until the following afternoon, it seemed only logical to conclude that he was the murderer of the unfortunate Mrs. de Castina. She had been strangled with a piece of stout black cord, and had evidently been caught unawares with no time to cry out. The black silk handbag which she carried contained a well-filled notecase and some loose change, a fine lace handkerchief, unmarked, and the return half of a first-class ticket to London. Nothing much there to go upon. Such were the"
File 1 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_10.csv),Who is actually 'the man in the brown suit'?,4,9.148852074180283,"Book 3 with the title 'The Missing Will', Chapter 5, Paragraph 5","details published broadcast by the _Daily Budget,_ and “Find the Man in the Brown Suit” was their daily war-cry. On an average about five hundred people wrote daily to announce their success in the quest, and tall young men with well-tanned faces cursed the day when their tailors had persuaded them to a brown suit. The accident in the Tube, dismissed as a coincidence, faded out of the public mind. Was it a coincidence? I was not so sure. No doubt I was prejudiced—the Tube incident was my own pet mystery—but there certainly seemed to me to be a connection of some kind between the two fatalities. In each there was a man with a tanned face—evidently an Englishman living abroad, and there were other things. It was the consideration of these other things that finally impelled me to what I considered a dashing step. I presented myself at Scotland Yard and demanded to see whoever was in charge of"
File 1 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_10.csv),Who is actually 'the man in the brown suit'?,5,8.758687740226325,"Book 8 with the title 'The Plymouth Express Affair', Chapter 17, Paragraph 2","do anything low."" ""Would he not, Georges? I wonder now. Well, perhaps you are right."" There was a knock on the door. George went to it and opened it a discreet inch or two. A low murmured colloquy went on, and then the valet returned to Poirot. ""A note, sir."" Poirot took it. It was from M. Caux, the Commissary of Police. ""We are about to interrogate the Comte de la Roche. The Juge d'Instruction begs that you will be present."" ""Quickly, my suit, Georges! I must hasten myself."" A quarter of an hour later, spick and span in his brown suit, Poirot entered the Examining Magistrate's room. M. Caux was already there, and both he and M. Carrège greeted Poirot with polite _empressement_. ""The affair is somewhat discouraging,"" murmured M. Caux. ""It appears that the Comte arrived in Nice the day before the murder."" ""If that is true, it will settle your affair nicely for you,"" responded Poirot. M. Carrège cleared his throat. ""We must not accept this alibi without very cautious inquiry,"" he declared. He struck the bell upon the table with his hand. In another minute a tall dark man, exquisitely dressed, with a somewhat haughty cast of countenance, entered the room. So very aristocratic-looking was the Count, that it would have seemed sheer heresy even to whisper that his father had been an obscure corn-chandler in Nantes--which, as a matter of fact, was the case. Looking at"
File 2 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_15.csv),Who is actually 'the man in the brown suit'?,1,13.61967464915635,"Book 3 with the title 'The Missing Will', Chapter 38, Paragraph 14","severed my connection with the _Daily Budget_ long ago—I had done with it sooner than it had done with me. _My Romantic Wedding_ was given a halo of publicity. My son is lying in the sun, kicking his legs. There’s a “man in a brown suit” if you like. He’s wearing as little as possible, which is the best costume for Africa, and is as brown as a berry."
File 2 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_15.csv),Who is actually 'the man in the brown suit'?,2,12.409748670658416,"Book 3 with the title 'The Missing Will', Chapter 5, Paragraph 3","light grey eyes. He was clean-shaven and was wearing a brown suit. He explained to Mrs. James that he was a friend of the lady who had come to look over the house, but had stopped at the post office to send a telegram. She directed him to the house, and thought no more about the matter. Five minutes later he reappeared, handed her back the keys and explained that he feared the house would not suit them. Mrs. James did not see the lady, but thought that she had gone on ahead. What she did notice was that the young man seemed very much upset about"
File 2 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_15.csv),Who is actually 'the man in the brown suit'?,3,11.106540753576395,"Book 3 with the title 'The Missing Will', Chapter 5, Paragraph 5","suicide. However, as the Tube victim was dead at two o’clock, and the woman was alive and well at three o’clock, the only logical conclusion to come to was that the two occurrences had nothing to do with each other, and that the order to view the house at Marlow found in the dead man’s pocket was merely one of those coincidences which so often occur in this life. A verdict of “Wilful Murder against some person or persons unknown” was returned, and the police (and the _Daily Budget_) were left to look for “the man in the brown suit.” Since Mrs. James was positive that there"
File 2 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_15.csv),Who is actually 'the man in the brown suit'?,4,9.771083087463214,"Book 8 with the title 'The Plymouth Express Affair', Chapter 17, Paragraph 3","""Quickly, my suit, Georges! I must hasten myself."" A quarter of an hour later, spick and span in his brown suit, Poirot entered the Examining Magistrate's room. M. Caux was already there, and both he and M. Carrège greeted Poirot with polite _empressement_. ""The affair is somewhat discouraging,"" murmured M. Caux. ""It appears that the Comte arrived in Nice the day before the murder."" ""If that is true, it will settle your affair nicely for you,"" responded Poirot. M. Carrège cleared his throat. ""We must not accept this alibi without very cautious inquiry,"" he declared. He struck the bell upon the table with his hand. In another minute a tall dark man, exquisitely dressed, with a somewhat haughty cast of countenance, entered the room. So very aristocratic-looking was the Count, that it would have seemed sheer heresy even to whisper that his father had been an obscure corn-chandler in Nantes--which, as a matter of fact, was the case. Looking at him,"
File 2 (tokenized_Agatha_Christie_Corpus_Combined_Paragraphs_15.csv),Who is actually 'the man in the brown suit'?,5,9.22033695696047,"Book 3 with the title 'The Missing Will', Chapter 5, Paragraph 7","broadcast by the _Daily Budget,_ and “Find the Man in the Brown Suit” was their daily war-cry. On an average about five hundred people wrote daily to announce their success in the quest, and tall young men with well-tanned faces cursed the day when their tailors had persuaded them to a brown suit. The accident in the Tube, dismissed as a coincidence, faded out of the public mind. Was it a coincidence? I was not so sure. No doubt I was prejudiced—the Tube incident was my own pet mystery—but there certainly seemed to me to be a connection of some kind between the two fatalities. In each"
